Country.Name,Indicator.Code,Value,Year
Honduras,PUBS.TOTL,0,2010
Mexico,PUBS.TOTL,139,2010
Nicaragua,PUBS.TOTL,5,2010
Panama,PUBS.TOTL,49,2010
Paraguay,PUBS.TOTL,0,2010
Peru,PUBS.TOTL,22,2010
Uruguay,PUBS.TOTL,11,2010
Venezuela,PUBS.TOTL,10,2010
Canada,PUBS.TOTL,762,2010
United States,PUBS.TOTL,3201,2010
Argentina,PUBS.TOTL,148,2011
Bolivia,PUBS.TOTL,17,2011
Brazil,PUBS.TOTL,216,2011
Chile,PUBS.TOTL,87,2011
Colombia,PUBS.TOTL,38,2011
Costa Rica,PUBS.TOTL,29,2011
Cuba,PUBS.TOTL,3,2011
Ecuador,PUBS.TOTL,20,2011
El Salvador,PUBS.TOTL,0,2011
Guatemala,PUBS.TOTL,3,2011
Honduras,PUBS.TOTL,0,2011
Mexico,PUBS.TOTL,167,2011
Nicaragua,PUBS.TOTL,4,2011
Panama,PUBS.TOTL,63,2011
Paraguay,PUBS.TOTL,3,2011
Peru,PUBS.TOTL,29,2011
Uruguay,PUBS.TOTL,13,2011
Venezuela,PUBS.TOTL,10,2011
Canada,PUBS.TOTL,738,2011
United States,PUBS.TOTL,3189,2011
Argentina,PUBS.TOTL,137,2012
Bolivia,PUBS.TOTL,9,2012
Brazil,PUBS.TOTL,266,2012
Chile,PUBS.TOTL,70,2012
Colombia,PUBS.TOTL,32,2012
Costa Rica,PUBS.TOTL,16,2012
Cuba,PUBS.TOTL,3,2012
Ecuador,PUBS.TOTL,32,2012
El Salvador,PUBS.TOTL,0,2012
Guatemala,PUBS.TOTL,5,2012
Honduras,PUBS.TOTL,0,2012
Mexico,PUBS.TOTL,142,2012
Nicaragua,PUBS.TOTL,3,2012
Panama,PUBS.TOTL,61,2012
Paraguay,PUBS.TOTL,0,2012
Peru,PUBS.TOTL,16,2012
Uruguay,PUBS.TOTL,12,2012
Venezuela,PUBS.TOTL,9,2012
Canada,PUBS.TOTL,766,2012
United States,PUBS.TOTL,3132,2012
Argentina,PUBS.TOTL,133,2013
Bolivia,PUBS.TOTL,14,2013
Brazil,PUBS.TOTL,281,2013
Chile,PUBS.TOTL,81,2013
Colombia,PUBS.TOTL,44,2013
Costa Rica,PUBS.TOTL,20,2013
Cuba,PUBS.TOTL,8,2013
Ecuador,PUBS.TOTL,36,2013
El Salvador,PUBS.TOTL,2,2013
Guatemala,PUBS.TOTL,3,2013
Honduras,PUBS.TOTL,0,2013
Mexico,PUBS.TOTL,143,2013
Nicaragua,PUBS.TOTL,2,2013
Panama,PUBS.TOTL,70,2013
Paraguay,PUBS.TOTL,0,2013
Peru,PUBS.TOTL,21,2013
Uruguay,PUBS.TOTL,18,2013
Venezuela,PUBS.TOTL,9,2013
Canada,PUBS.TOTL,778,2013
United States,PUBS.TOTL,3204,2013
